host,method,seed,balanced_accuracy,roc_auc,macro_f1,precision,recall,specificity,mcc,pr_auc,brier
H800,CT teacher,42,0.622315882874889,0.6289263531499555,0.6023497688751926,0.3188405797101449,0.4489795918367347,0.7956521739130434,0.2157449383201738,0.2660491369814309,0.2064805179834365
R3090,CT teacher,42,0.6713398402839397,0.6436557231588287,0.6156436552885352,0.3260869565217391,0.6122448979591837,0.7304347826086957,0.2773547413389509,0.2703057043554409,0.2354838582244623
H800,CT teacher,43,0.7228482697426797,0.6765749778172138,0.6819175777964677,0.4189189189189189,0.6326530612244898,0.8130434782608695,0.3841567156654099,0.2975313199307566,0.2085373848676681
R3090,CT teacher,43,0.726885536823425,0.7353149955634428,0.6289719479950561,0.3392857142857143,0.7755102040816326,0.6782608695652174,0.3522341979550619,0.3048266643871496,0.2543700618721498
H800,CT teacher,44,0.712156166814552,0.7059449866903283,0.6412624196376389,0.3541666666666667,0.6938775510204082,0.7304347826086957,0.339849356846793,0.3655666528256688,0.2182022184133529
R3090,CT teacher,44,0.6897515527950311,0.6668145519077197,0.602781732559413,0.3125,0.7142857142857143,0.6652173913043479,0.2945846039604614,0.3321263999289386,0.293490459607116
H800,Cross-modal KD,42,0.4782608695652174,0.5812777284826975,0.4408817635270541,0.0,0.0,0.9565217391304348,-0.0889934374300067,0.1986507698139489,0.1582025587558746
R3090,Cross-modal KD,42,0.5748447204968944,0.6413487133984028,0.5072737068965517,0.224,0.5714285714285714,0.5782608695652174,0.1145348780217435,0.2727563190577491,0.2204399680854606
H800,Cross-modal KD,43,0.4913043478260869,0.6323868677905945,0.4475247524752475,0.0,0.0,0.982608695652174,-0.055666994074128,0.2342897574479917,0.1826377660036087
R3090,Cross-modal KD,43,0.6157941437444543,0.6311446317657498,0.593717495319326,0.3055555555555556,0.4489795918367347,0.782608695652174,0.2013850041847636,0.2441756697881689,0.1926292351019693
H800,Cross-modal KD,44,0.4782608695652174,0.5510204081632653,0.4408817635270541,0.0,0.0,0.9565217391304348,-0.0889934374300067,0.1940007155983071,0.1722767055034637
R3090,Cross-modal KD,44,0.6066548358473824,0.6307897071872227,0.4613899613899613,0.2254335260115607,0.7959183673469388,0.417391304347826,0.1672231966237066,0.2272805674744961,0.2914811363943704
H800,X-ray supervised,42,0.6128216503992902,0.6486690328305236,0.5188609521049199,0.2426470588235294,0.673469387755102,0.5521739130434783,0.171769847166067,0.2737876272569053,0.2539857029914856
R3090,X-ray supervised,42,0.5818988464951198,0.6208518189884649,0.4464285714285714,0.2138728323699422,0.7551020408163265,0.408695652173913,0.1284084945787697,0.2410966599377133,0.2854236229193082
H800,X-ray supervised,43,0.5147293700088731,0.5795474711623779,0.5037291309096583,0.25,0.0816326530612244,0.9478260869565216,0.0482101252861611,0.2096066927008885,0.1793732792139053
R3090,X-ray supervised,43,0.6056344276841171,0.5987577639751553,0.5021808088818398,0.2344827586206896,0.6938775510204082,0.5173913043478261,0.1609018498406061,0.2185852424276526,0.2555130529422987
H800,X-ray supervised,44,0.5259538598047915,0.6203637976929902,0.5266415994130594,0.2222222222222222,0.2040816326530612,0.8478260869565217,0.053700672254008,0.2304802616045267,0.1942736953496933
R3090,X-ray supervised,44,0.6043034605146407,0.6135758651286601,0.4844163724624889,0.2292993630573248,0.7346938775510204,0.4739130434782608,0.1600150861080859,0.2248615617725345,0.2624634154137057
