variant,comparison,n,delta_ba_mean,delta_ba_ci_lo,delta_ba_ci_hi,positive,zero,negative,delta_macro_f1_mean,delta_specificity_mean,decision_pass
3slice,gated_vs_supervised,15,-0.044507183637618415,-0.0917478354978355,0.00016657255787684244,5,0,10,-0.04128777148010364,-0.04817115251897862,False
3slice,gated_vs_plain,15,-0.014009661835748791,-0.044180939833113726,0.013200483091787394,8,1,6,-0.0132439458107848,-0.0019323671497584738,False
3slice,teacher_vs_supervised,15,0.019248384465775783,-0.012783424305163415,0.0575036075036075,8,3,5,0.02315568340480875,0.000552104899930983,False
3slice,plain_vs_supervised,15,-0.03049752180186963,-0.0827224888637932,0.016231648785996575,7,0,8,-0.028043825669318838,-0.046238785369220145,False
drr,gated_vs_supervised,15,-0.005326557500470545,-0.04780177551916684,0.03864467657945917,8,0,7,-0.003764908939832464,-0.008281573498964807,False
drr,gated_vs_plain,15,0.037825459564590005,-0.0013551665725578758,0.08295258485475876,9,2,4,0.04487555840858196,0.04982746721877156,False
drr,teacher_vs_supervised,15,0.023059790451094804,-0.023365173473869117,0.06634332454984626,9,0,6,0.029150550909309954,0.06970324361628707,False
drr,plain_vs_supervised,15,-0.04315201706506055,-0.09541211807516158,0.013947236338540694,4,1,10,-0.04864046734841443,-0.05810904071773638,False
mid,gated_vs_supervised,15,-0.014357864357864377,-0.05283032185206101,0.02335780161867116,8,0,7,-0.021464824991751175,-0.02015182884748105,False
mid,gated_vs_plain,15,0.0072683355292050755,-0.025648252713470095,0.041898880105401784,8,1,7,0.0005981484700791851,0.009661835748792239,False
mid,teacher_vs_supervised,15,0.011471861471861477,-0.024355590062111784,0.046263881046489735,8,0,7,0.006248862872219937,0.11635610766045547,False
mid,plain_vs_supervised,15,-0.02162619988706945,-0.062253434970826284,0.021109072087332956,6,0,9,-0.02206297346183036,-0.029813664596273288,False
proj,gated_vs_supervised,15,-0.014762532153836494,-0.05817570111048371,0.026742581090407207,6,2,7,-0.01657830598900114,-0.0176673567977916,False
proj,gated_vs_plain,15,0.01609887696844219,-0.01914580588493631,0.054442954388606545,9,0,6,0.016622640012411576,-0.01628709454796412,False
proj,teacher_vs_supervised,15,0.04491812535290796,0.007706333521550906,0.08130058347449651,9,1,5,0.04664996532430146,0.09523809523809526,True
proj,plain_vs_supervised,15,-0.030861409122278683,-0.08178163623815797,0.019280538302277397,5,1,9,-0.03320094600141272,-0.001380262249827476,False
