variant,method,n,ba_mean,ba_ci_lo,ba_ci_hi,macro_f1_mean,specificity_mean,roc_auc_mean,accuracy_mean,n_test_mean
3slice,gated_kd,15,0.5865487169834995,0.5514680186962796,0.6232420478072653,0.5804602046278374,0.590752242926156,0.6300699405614341,0.5860599932591842,45.2
3slice,plain_kd,15,0.6005583788192485,0.5617410126105779,0.6361064056716229,0.5937041504386223,0.5926846100759146,0.6523513558485203,0.5994068082237951,45.2
3slice,supervised,15,0.6310559006211179,0.6074218112805069,0.6560894660894661,0.621747976107941,0.6389233954451347,0.6899930986887508,0.6314151967943676,45.2
3slice,teacher,15,0.6503042850868936,0.616449981178242,0.6845812158855638,0.6449036595127499,0.6394755003450656,0.7067780150955953,0.650623525446579,45.2
drr,gated_kd,15,0.6257293431206475,0.5931389986824768,0.659053500846979,0.6179830671681087,0.6306418219461697,0.6579967921177751,0.6258248136913453,45.2
drr,plain_kd,15,0.5879038835560575,0.5385709580274797,0.6395107911412258,0.5731075087595268,0.5808143547273982,0.6156287421882884,0.5883548664944015,45.2
drr,supervised,15,0.6310559006211179,0.6071704623878537,0.6555336752619361,0.621747976107941,0.6389233954451347,0.6899930986887508,0.6314151967943676,45.2
drr,teacher,15,0.6541156910722127,0.6071052136269529,0.6979929732103646,0.650898527017251,0.7086266390614215,0.6842270940569616,0.6543452046586524,45.2
mid,gated_kd,15,0.6166980362632536,0.5858662714097497,0.6476096367400714,0.60028315111619,0.6187715665976534,0.6662690911273141,0.6162925513987191,45.2
mid,plain_kd,15,0.6094297007340486,0.5769741671372106,0.6369660894660895,0.5996850026461107,0.6091097308488612,0.6561069785077346,0.6107897988990001,45.2
mid,supervised,15,0.6310559006211179,0.6071930484973964,0.655367416400025,0.621747976107941,0.6389233954451347,0.6899930986887508,0.6314151967943676,45.2
mid,teacher,15,0.6425277620929796,0.6230876309680657,0.6607160894660894,0.627996838980161,0.75527950310559,0.6821687029626539,0.6431105119274988,45.2
proj,gated_kd,15,0.6162933684672816,0.5863815954576824,0.6448899711399712,0.60516967011894,0.621256038647343,0.649617018142538,0.6164625697487174,45.2
proj,plain_kd,15,0.6001944914988393,0.5571850492502666,0.6416781165694209,0.5885470301065284,0.637543133195307,0.6418018969058666,0.5989012470508931,45.2
proj,supervised,15,0.6310559006211179,0.6070169082125604,0.6549691009473617,0.621747976107941,0.6389233954451347,0.6899930986887508,0.6314151967943676,45.2
proj,teacher,15,0.675974025974026,0.6452732291862726,0.7049477696216827,0.6683979414322425,0.7341614906832297,0.7412739329563526,0.6755922555518106,45.2
