name,method,seed,val_ba,val_f1,val_auc,test_ba,test_f1,test_auc
midrc_locked_teacher_ct_s42,teacher_ct,42,0.7222222222222222,0.7142857142857142,0.6790123456790124,0.5,0.45054945054945056,0.6000000000000001
midrc_locked_teacher_ct_s43,teacher_ct,43,0.6666666666666667,0.6625,0.5802469135802469,0.39999999999999997,0.34065934065934067,0.42000000000000004
midrc_locked_teacher_ct_s44,teacher_ct,44,0.7222222222222222,0.7213622291021672,0.6172839506172839,0.3,0.3,0.32000000000000006
midrc_locked_teacher_ct_s45,teacher_ct,45,0.7222222222222222,0.7142857142857142,0.6666666666666666,0.45,0.3732193732193732,0.44
midrc_locked_teacher_ct_s46,teacher_ct,46,0.7222222222222222,0.7142857142857142,0.6172839506172839,0.44999999999999996,0.41333333333333333,0.39
midrc_locked_teacher_ct_s47,teacher_ct,47,0.6666666666666667,0.6625,0.5555555555555556,0.4,0.3939393939393939,0.49
midrc_locked_xray_plain_kd_s42,plain_kd,42,0.6666666666666666,0.625,0.654320987654321,0.44999999999999996,0.41333333333333333,0.49
midrc_locked_xray_plain_kd_s43,plain_kd,43,0.7777777777777778,0.7662337662337663,0.7037037037037037,0.4,0.3939393939393939,0.43
midrc_locked_xray_plain_kd_s44,plain_kd,44,0.7222222222222222,0.7142857142857142,0.6049382716049383,0.55,0.52,0.57
midrc_locked_xray_plain_kd_s45,plain_kd,45,0.5555555555555556,0.4461538461538461,0.41975308641975306,0.35,0.25925925925925924,0.38
midrc_locked_xray_plain_kd_s46,plain_kd,46,0.6666666666666667,0.6625,0.5802469135802468,0.55,0.52,0.65
midrc_locked_xray_plain_kd_s47,plain_kd,47,0.6666666666666667,0.6625,0.7283950617283951,0.35,0.3483709273182957,0.41
midrc_locked_xray_reliability_gated_kd_s42,gated_kd,42,0.7222222222222222,0.7213622291021672,0.6296296296296297,0.44999999999999996,0.4373401534526854,0.54
midrc_locked_xray_reliability_gated_kd_s43,gated_kd,43,0.7222222222222222,0.7213622291021672,0.7407407407407407,0.44999999999999996,0.4373401534526854,0.45000000000000007
midrc_locked_xray_reliability_gated_kd_s44,gated_kd,44,0.7222222222222222,0.6989966555183946,0.7777777777777777,0.5,0.4791666666666667,0.5599999999999998
midrc_locked_xray_reliability_gated_kd_s45,gated_kd,45,0.7222222222222222,0.7213622291021672,0.6419753086419753,0.5,0.4949494949494949,0.52
midrc_locked_xray_reliability_gated_kd_s46,gated_kd,46,0.7222222222222222,0.7142857142857142,0.6049382716049383,0.55,0.52,0.54
midrc_locked_xray_reliability_gated_kd_s47,gated_kd,47,0.7222222222222222,0.6989966555183946,0.6666666666666667,0.45,0.3732193732193732,0.41999999999999993
midrc_locked_xray_supervised_s42,supervised,42,0.7222222222222222,0.6989966555183946,0.6419753086419753,0.5,0.40476190476190477,0.6
midrc_locked_xray_supervised_s43,supervised,43,0.7222222222222222,0.7213622291021672,0.6666666666666667,0.5,0.4791666666666667,0.38
midrc_locked_xray_supervised_s44,supervised,44,0.7777777777777778,0.7777777777777778,0.6666666666666667,0.4,0.4,0.36
midrc_locked_xray_supervised_s45,supervised,45,0.7222222222222222,0.7213622291021672,0.654320987654321,0.5,0.4949494949494949,0.48
midrc_locked_xray_supervised_s46,supervised,46,0.7777777777777778,0.7662337662337663,0.6296296296296297,0.45,0.3732193732193732,0.36
midrc_locked_xray_supervised_s47,supervised,47,0.7222222222222222,0.7142857142857142,0.7654320987654322,0.35,0.3483709273182957,0.33999999999999997
