variant,method,tau,lambda,n,ba_mean,ba_ci_lo,ba_ci_hi,macro_f1_mean,specificity_mean,roc_auc_mean,accuracy_mean
3slice,supervised,-,-,15,0.6246957605777088,0.5985371371599874,0.6477984856823603,0.567506996221887,0.6202742616033756,0.6741810301696103,0.6218656760022089
3slice,pseudolabel,0.70,0.50,15,0.6486429929454146,0.6156473004327814,0.6788389484414871,0.602652557416207,0.6734388185654008,0.6919660487650305,0.6626739144502685
3slice,pseudolabel,0.70,1.00,15,0.6312485198712497,0.6045178876686512,0.6565359004186055,0.5918800621973676,0.6854219409282702,0.6866053559813878,0.6615073329149019
3slice,pseudolabel,0.80,0.50,15,0.6398133995430364,0.6061707135679859,0.668059856615133,0.5824382908919326,0.6345675105485233,0.691747865279098,0.6370540423545494
3slice,pseudolabel,0.80,1.00,15,0.6493779706809426,0.6371233963534629,0.6629831979328231,0.6108836762306462,0.7062658227848101,0.7013468963159386,0.6812010612825988
mid,supervised,-,-,15,0.6246957605777088,0.5985371371599874,0.6477984856823603,0.567506996221887,0.6202742616033756,0.6741810301696103,0.6218656760022089
mid,pseudolabel,0.70,0.50,15,0.6252102408232019,0.6031372553618185,0.6463512126632311,0.5867388166376845,0.681909282700422,0.679894702389887,0.6568743053631463
mid,pseudolabel,0.70,1.00,15,0.6545088891112558,0.6346379777063426,0.6730028013000117,0.6072290153583165,0.6808227848101266,0.7069482455262588,0.6692946164976291
mid,pseudolabel,0.80,0.50,15,0.6390697286569604,0.6111120785802437,0.6616551336493721,0.5807881082717922,0.6330801687763713,0.6886029877753873,0.6359457019374124
mid,pseudolabel,0.80,1.00,15,0.6373801095712214,0.5999754637389303,0.664548917734027,0.5892497081753845,0.6650105485232066,0.6906640357899302,0.6528047779078306
